"วันที่"|"สัญชาติ"|"จำนวน"|"ค่าปรับ"
"2023-04-27"|"ITA"|"1"|"1000"
"2023-04-26"|"USA"|"2"|"14500"
"2023-04-26"|"AUS"|"2"|"10000"
"2023-04-26"|"MMR"|"1"|"1500"
"2023-04-26"|"CHN"|"1"|"10000"
"2023-04-25"|"CHN"|"3"|"37000"
"2023-04-25"|"USA"|"1"|"9500"
"2023-04-25"|"TWN"|"1"|"4000"
"2023-04-25"|"GBR"|"1"|"2500"
"2023-04-25"|"MLT"|"1"|"1000"
"2023-04-25"|"RUS"|"1"|"1000"
"2023-04-28"|"CHN"|"5"|"69500"
"2023-04-28"|"GBR"|"3"|"28500"
"2023-04-28"|"USA"|"1"|"2000"
"2023-04-28"|"MMR"|"1"|"5000"
"2023-05-30"|"CHN"|"2"|"4500"
"2023-05-30"|"ZAF"|"1"|"1000"
"2023-05-30"|"MLT"|"1"|"1000"
"2023-04-29"|"USA"|"4"|"9500"
"2023-04-29"|"JPN"|"1"|"20000"
"2023-05-07"|"AUS"|"1"|"1500"
"2023-05-07"|"VNM"|"1"|"1000"
"2023-05-07"|"NLD"|"1"|"1500"
"2023-05-07"|"TWN"|"1"|"2500"
"2023-05-07"|"USA"|"1"|"2500"
"2023-05-06"|"USA"|"1"|"1500"
